date,open,high,low,close,amount,volume
2011-01-04,100.21,100.21,100.21,100.21,0.0,0.0
2011-01-05,100.61,100.61,100.61,100.61,380.0,0.0
2011-01-06,100.53,100.53,100.53,100.53,0.0,0.0
2011-01-07,100.62,100.62,100.62,100.62,170.0,0.0
2011-01-10,100.53,100.53,100.53,100.53,180.0,0.0
2011-01-11,100.33,100.33,100.33,100.33,0.0,0.0
2011-01-12,100.46,100.46,100.46,100.46,0.0,0.0
2011-01-13,100.37,100.37,100.37,100.37,80.0,0.0
2011-01-14,100.09,100.09,100.09,100.09,0.0,0.0
2011-01-17,99.88,99.88,99.88,99.88,0.0,0.0
2011-01-18,99.65,99.65,99.65,99.65,0.0,0.0
2011-01-19,99.79,99.79,99.79,99.79,0.0,0.0
2011-01-20,99.81,99.81,99.81,99.81,0.0,0.0
2011-01-21,99.62,99.62,99.62,99.62,400.0,0.0
2011-01-24,99.59,99.59,99.59,99.59,0.0,0.0
2011-01-25,99.46,99.46,99.46,99.46,550.0,0.0
2011-01-26,99.54,99.54,99.54,99.54,800.0,0.0
2011-01-27,99.51,99.51,99.51,99.51,800.0,0.0
2011-01-28,99.54,99.54,99.54,99.54,800.0,0.0
2011-01-30,99.56,99.56,99.56,99.56,800.0,0.0
2011-01-31,99.5,99.5,99.5,99.5,800.0,0.0
2011-02-01,99.5,99.5,99.5,99.5,800.0,0.0
2011-02-09,99.04,99.04,99.04,99.04,550.0,0.0
2011-02-10,98.9,98.9,98.9,98.9,0.0,0.0
2011-02-11,98.98,98.98,98.98,98.98,0.0,0.0
2011-02-12,98.98,98.98,98.98,98.98,0.0,0.0
2011-02-14,99.39,99.39,99.39,99.39,0.0,0.0
2011-02-15,99.53,99.53,99.53,99.53,0.0,0.0
2011-02-16,99.54,99.54,99.54,99.54,0.0,0.0
2011-02-17,99.55,99.55,99.55,99.55,0.0,0.0
2011-02-18,99.56,99.56,99.56,99.56,0.0,0.0
2011-02-21,99.39,99.39,99.39,99.39,200.0,0.0
2011-02-22,99.61,99.61,99.61,99.61,200.0,0.0
2011-02-23,100.07,100.07,100.07,100.07,0.0,0.0
2011-02-24,100.65,100.65,100.65,100.65,0.0,0.0
2011-02-25,100.33,100.33,100.33,100.33,0.0,0.0
2011-02-28,100.47,100.47,100.47,100.47,0.0,0.0
2011-03-01,100.49,100.49,100.49,100.49,0.0,0.0
2011-03-02,100.56,100.56,100.56,100.56,0.0,0.0
2011-03-03,100.53,100.53,100.53,100.53,0.0,0.0
2011-03-04,100.46,100.46,100.46,100.46,0.0,0.0
2011-03-07,100.53,100.53,100.53,100.53,0.0,0.0
2011-03-08,100.78,100.78,100.78,100.78,0.0,0.0
2011-03-09,100.76,100.76,100.76,100.76,0.0,0.0
2011-03-10,100.48,100.48,100.48,100.48,0.0,0.0
2011-03-11,100.48,100.48,100.48,100.48,0.0,0.0
2011-03-14,100.73,100.73,100.73,100.73,0.0,0.0
2011-03-15,101.09,101.09,101.09,101.09,0.0,0.0
2011-03-16,100.85,100.85,100.85,100.85,0.0,0.0
2011-03-17,101.08,101.08,101.08,101.08,0.0,0.0
2011-03-18,100.71,100.71,100.71,100.71,0.0,0.0
2011-03-21,100.54,100.54,100.54,100.54,100.0,0.0
2011-03-22,100.66,100.66,100.66,100.66,0.0,0.0
2011-03-23,100.66,100.66,100.66,100.66,0.0,0.0
2011-03-24,100.73,100.73,100.73,100.73,400.0,0.0
2011-03-25,100.76,100.76,100.76,100.76,0.0,0.0
2011-03-28,100.64,100.64,100.64,100.64,0.0,0.0
2011-03-29,100.79,100.79,100.79,100.79,0.0,0.0
2011-03-30,101.13,101.13,101.13,101.13,0.0,0.0
2011-03-31,101.09,101.09,101.09,101.09,10.0,0.0
2011-04-01,101.16,101.16,101.16,101.16,720.0,0.0
2011-04-02,101.21,101.21,101.21,101.21,720.0,0.0
2011-04-06,101.04,101.04,101.04,101.04,860.0,0.0
2011-04-07,101.11,101.11,101.11,101.11,1640.0,0.0
2011-04-08,101.2,101.2,101.2,101.2,1120.0,0.0
2011-04-11,100.98,100.98,100.98,100.98,980.0,0.0
2011-04-12,101.18,101.18,101.18,101.18,1370.0,0.0
2011-04-13,100.93,100.93,100.93,100.93,0.0,0.0
2011-04-14,101.02,101.02,101.02,101.02,430.0,0.0
2011-04-15,101.03,101.03,101.03,101.03,300.0,0.0
2011-04-18,100.95,100.95,100.95,100.95,320.0,0.0
2011-04-19,101.07,101.07,101.07,101.07,1180.0,0.0
2011-04-20,101.09,101.09,101.09,101.09,500.0,0.0
2011-04-21,101.1,101.1,101.1,101.1,0.0,0.0
2011-04-22,101.07,101.07,101.07,101.07,0.0,0.0
2011-04-25,101.07,101.07,101.07,101.07,620.0,0.0
2011-04-26,101.16,101.16,101.16,101.16,400.0,0.0
2011-04-27,101.4,101.4,101.4,101.4,1000.0,0.0
2011-04-28,101.49,101.49,101.49,101.49,800.0,0.0
2011-04-29,101.41,101.41,101.41,101.41,800.0,0.0
2011-05-03,101.43,101.43,101.43,101.43,1220.0,0.0
2011-05-04,101.47,101.47,101.47,101.47,1120.0,0.0
2011-05-05,101.52,101.52,101.52,101.52,1120.0,0.0
2011-05-06,101.84,101.84,101.84,101.84,1120.0,0.0
2011-05-09,101.83,101.83,101.83,101.83,800.0,0.0
2011-05-10,101.9,101.9,101.9,101.9,800.0,0.0
2011-05-11,101.94,101.94,101.94,101.94,940.0,0.0
2011-05-12,102.03,102.03,102.03,102.03,1150.0,0.0
2011-05-13,101.92,101.92,101.92,101.92,1230.0,0.0
2011-05-16,101.76,101.76,101.76,101.76,940.0,0.0
2011-05-17,101.74,101.74,101.74,101.74,1490.0,0.0
2011-05-18,101.68,101.68,101.68,101.68,2080.0,0.0
2011-05-19,101.69,101.69,101.69,101.69,1720.0,0.0
2011-05-20,101.62,101.62,101.62,101.62,2120.0,0.0
2011-05-23,101.62,101.62,101.62,101.62,1720.0,0.0
2011-05-24,101.62,101.62,101.62,101.62,2330.0,0.0
2011-05-25,101.42,101.42,101.42,101.42,1720.0,0.0
2011-05-26,101.43,101.43,101.43,101.43,1720.0,0.0
2011-05-27,101.51,101.51,101.51,101.51,1720.0,0.0
2011-05-30,101.49,101.49,101.49,101.49,1720.0,0.0
2011-05-31,101.32,101.32,101.32,101.32,1720.0,0.0
2011-06-01,101.39,101.39,101.39,101.39,1930.0,0.0
2011-06-02,101.36,101.36,101.36,101.36,2320.0,0.0
2011-06-03,101.37,101.37,101.37,101.37,2320.0,0.0
2011-06-07,101.42,101.42,101.42,101.42,2320.0,0.0
2011-06-08,101.22,101.22,101.22,101.22,2250.0,0.0
2011-06-09,101.1,101.1,101.1,101.1,2660.0,0.0
2011-06-10,100.88,100.88,100.88,100.88,1860.0,0.0
2011-06-13,100.82,100.82,100.82,100.82,1860.0,0.0
2011-06-14,100.56,100.56,100.56,100.56,2040.0,0.0
2011-06-15,100.07,100.07,100.07,100.07,2220.0,0.0
2011-06-16,100.23,100.23,100.23,100.23,2080.0,0.0
2011-06-17,100.23,100.23,100.23,100.23,2080.0,0.0
2011-06-20,100.46,100.46,100.46,100.46,2140.0,0.0
2011-06-21,100.51,100.51,100.51,100.51,2080.0,0.0
2011-06-22,99.58,99.58,99.58,99.58,4820.0,0.0
2011-06-23,98.65,98.65,98.65,98.65,2080.0,0.0
2011-06-24,98.87,98.87,98.87,98.87,2080.0,0.0
2011-06-27,98.89,98.89,98.89,98.89,2480.0,0.0
2011-06-28,98.77,98.77,98.77,98.77,2180.0,0.0
2011-06-29,98.77,98.77,98.77,98.77,1710.0,0.0
2011-06-30,98.78,98.78,98.78,98.78,1140.0,0.0
2011-07-01,98.85,98.85,98.85,98.85,1670.0,0.0
2011-07-04,98.83,98.83,98.83,98.83,3760.0,0.0
2011-07-05,98.87,98.87,98.87,98.87,840.0,0.0
2011-07-06,99.01,99.01,99.01,99.01,990.0,0.0
2011-07-07,99.03,99.03,99.03,99.03,720.0,0.0
2011-07-08,99.17,99.17,99.17,99.17,700.0,0.0
2011-07-11,99.13,99.13,99.13,99.13,1540.0,0.0
2011-07-12,99.21,99.21,99.21,99.21,860.0,0.0
2011-07-13,99.37,99.37,99.37,99.37,1170.0,0.0
2011-07-14,99.14,99.14,99.14,99.14,960.0,0.0
2011-07-15,99.31,99.31,99.31,99.31,670.0,0.0
2011-07-18,99.1,99.1,99.1,99.1,1130.0,0.0
2011-07-19,98.74,98.74,98.74,98.74,520.0,0.0
2011-07-20,98.41,98.41,98.41,98.41,560.0,0.0
2011-07-21,98.24,98.24,98.24,98.24,520.0,0.0
2011-07-22,98.41,98.41,98.41,98.41,370.0,0.0
2011-07-25,98.45,98.45,98.45,98.45,920.0,0.0
2011-07-26,98.38,98.38,98.38,98.38,220.0,0.0
2011-07-27,98.1,98.1,98.1,98.1,220.0,0.0
2011-07-28,97.73,97.73,97.73,97.73,220.0,0.0
2011-07-29,97.75,97.75,97.75,97.75,220.0,0.0
2011-08-01,97.93,97.93,97.93,97.93,220.0,0.0
2011-08-02,97.67,97.67,97.67,97.67,260.0,0.0
2011-08-03,97.36,97.36,97.36,97.36,220.0,0.0
2011-08-04,97.52,97.52,97.52,97.52,220.0,0.0
2011-08-05,97.77,97.77,97.77,97.77,220.0,0.0
2011-08-08,97.88,97.88,97.88,97.88,220.0,0.0
2011-08-09,97.98,97.98,97.98,97.98,220.0,0.0
2011-08-10,98.56,98.56,98.56,98.56,3220.0,0.0
2011-08-11,98.67,98.67,98.67,98.67,220.0,0.0
2011-08-12,98.73,98.73,98.73,98.73,280.0,0.0
2011-08-15,99.02,99.02,99.02,99.02,3320.0,0.0
2011-08-16,99.08,99.08,99.08,99.08,3300.0,0.0
2011-08-17,99.15,99.15,99.15,99.15,12225.0,0.0
2011-08-18,98.98,98.98,98.98,98.98,5960.0,0.0
2011-08-19,99.1,99.1,99.1,99.1,4180.0,0.0
2011-08-22,99.15,99.15,99.15,99.15,1130.0,0.0
2011-08-23,99.15,99.15,99.15,99.15,690.0,0.0
2011-08-24,99.36,99.36,99.36,99.36,570.0,0.0
2011-08-25,99.18,99.18,99.18,99.18,450.0,0.0
2011-08-26,99.5,99.5,99.5,99.5,490.0,0.0
2011-08-29,98.97,98.97,98.97,98.97,2970.0,0.0
2011-08-30,98.69,98.69,98.69,98.69,320.0,0.0
2011-08-31,98.86,98.86,98.86,98.86,1120.0,0.0
2011-09-01,99.11,99.11,99.11,99.11,460.0,0.0
2011-09-02,99.13,99.13,99.13,99.13,220.0,0.0
2011-09-05,99.32,99.32,99.32,99.32,220.0,0.0
2011-09-06,99.41,99.41,99.41,99.41,280.0,0.0
2011-09-07,99.39,99.39,99.39,99.39,280.0,0.0
2011-09-08,99.57,99.57,99.57,99.57,220.0,0.0
2011-09-09,99.74,99.74,99.74,99.74,260.0,0.0
2011-09-13,100.04,100.04,100.04,100.04,220.0,0.0
2011-09-14,100.05,100.05,100.05,100.05,220.0,0.0
2011-09-15,99.83,99.83,99.83,99.83,220.0,0.0
