symbol,index,weight,year
A,NHCI,0.25,2004
AL,NHCI,0.1073,2004
CU,NHCI,0.2116,2004
M,NHCI,0.0601,2004
RU,NHCI,0.1693,2004
WH,NHCI,0.2017,2004
A,NHCI,0.25,2005
AL,NHCI,0.0949,2005
CF,NHCI,0.0887,2005
CU,NHCI,0.2346,2005
M,NHCI,0.0647,2005
RU,NHCI,0.1179,2005
WH,NHCI,0.1492,2005
A,NHCI,0.1921,2006
AL,NHCI,0.0669,2006
C,NHCI,0.0963,2006
CF,NHCI,0.1001,2006
CU,NHCI,0.2046,2006
FU,NHCI,0.079,2006
M,NHCI,0.0677,2006
RU,NHCI,0.0972,2006
WH,NHCI,0.0961,2006
A,NHCI,0.1178,2007
AL,NHCI,0.0752,2007
C,NHCI,0.1062,2007
CF,NHCI,0.064,2007
CU,NHCI,0.1643,2007
FU,NHCI,0.0674,2007
M,NHCI,0.0585,2007
RU,NHCI,0.1087,2007
SR,NHCI,0.1083,2007
WH,NHCI,0.0721,2007
Y,NHCI,0.0575,2007
A,NHCI,0.0959,2008
AL,NHCI,0.0604,2008
C,NHCI,0.0839,2008
CF,NHCI,0.0447,2008
CU,NHCI,0.1645,2008
FU,NHCI,0.0491,2008
M,NHCI,0.0607,2008
RU,NHCI,0.1154,2008
SR,NHCI,0.0865,2008
TA,NHCI,0.0405,2008
WH,NHCI,0.0579,2008
Y,NHCI,0.0545,2008
ZN,NHCI,0.086,2008
A,NHCI,0.09,2009
AL,NHCI,0.0553,2009
AU,NHCI,0.0383,2009
C,NHCI,0.0668,2009
CF,NHCI,0.0342,2009
CU,NHCI,0.1439,2009
FU,NHCI,0.0416,2009
L,NHCI,0.045,2009
M,NHCI,0.0585,2009
RU,NHCI,0.0945,2009
SR,NHCI,0.1055,2009
TA,NHCI,0.036,2009
WH,NHCI,0.048,2009
Y,NHCI,0.0754,2009
ZN,NHCI,0.067,2009
A,NHCI,0.0533,2010
AL,NHCI,0.0404,2010
AU,NHCI,0.0243,2010
C,NHCI,0.0418,2010
CF,NHCI,0.025,2010
CU,NHCI,0.1344,2010
FU,NHCI,0.0294,2010
L,NHCI,0.043,2010
M,NHCI,0.0467,2010
OI,NHCI,0.02,2010
P,NHCI,0.0512,2010
RB,NHCI,0.1762,2010
RU,NHCI,0.0741,2010
SR,NHCI,0.0715,2010
TA,NHCI,0.0321,2010
WH,NHCI,0.0325,2010
Y,NHCI,0.0626,2010
ZN,NHCI,0.0415,2010
A,NHAI,0.1044,2011
C,NHAI,0.0865,2011
CF,NHAI,0.1078,2011
M,NHAI,0.1047,2011
OI,NHAI,0.0217,2011
P,NHAI,0.0738,2011
RI,NHAI,0.0886,2011
SR,NHAI,0.209,2011
WH,NHAI,0.062,2011
Y,NHAI,0.1415,2011
A,NHCI,0.0407,2011
AL,NHCI,0.0348,2011
AU,NHCI,0.0203,2011
C,NHCI,0.0353,2011
CF,NHCI,0.0416,2011
CU,NHCI,0.127,2011
FU,NHCI,0.0223,2011
L,NHCI,0.0396,2011
M,NHCI,0.0395,2011
OI,NHCI,0.02,2011
P,NHCI,0.0366,2011
RB,NHCI,0.1462,2011
RI,NHCI,0.0365,2011
RU,NHCI,0.0962,2011
SR,NHCI,0.0771,2011
TA,NHCI,0.0287,2011
V,NHCI,0.02,2011
WH,NHCI,0.0256,2011
Y,NHCI,0.0527,2011
ZN,NHCI,0.0593,2011
FU,NHECI,0.1748,2011
L,NHECI,0.25,2011
RU,NHECI,0.25,2011
TA,NHECI,0.2208,2011
V,NHECI,0.1044,2011
AL,NHII,0.0646,2011
CU,NHII,0.2252,2011
FU,NHII,0.0412,2011
L,NHII,0.0715,2011
RB,NHII,0.25,2011
RU,NHII,0.1667,2011
TA,NHII,0.0524,2011
V,NHII,0.0245,2011
ZN,NHII,0.1039,2011
AL,NHMI,0.25,2011
CU,NHMI,0.25,2011
RB,NHMI,0.25,2011
ZN,NHMI,0.25,2011
A,NHAI,0.0972,2012
C,NHAI,0.0803,2012
CF,NHAI,0.1774,2012
M,NHAI,0.0911,2012
OI,NHAI,0.02,2012
P,NHAI,0.0585,2012
RI,NHAI,0.0751,2012
SR,NHAI,0.2026,2012
WH,NHAI,0.0583,2012
Y,NHAI,0.1395,2012
A,NHCI,0.0405,2012
AL,NHCI,0.0321,2012
AU,NHCI,0.0251,2012
C,NHCI,0.0346,2012
CF,NHCI,0.0719,2012
CU,NHCI,0.1399,2012
L,NHCI,0.0419,2012
M,NHCI,0.037,2012
P,NHCI,0.0287,2012
PB,NHCI,0.02,2012
RB,NHCI,0.1179,2012
RI,NHCI,0.0327,2012
RU,NHCI,0.1087,2012
SR,NHCI,0.0809,2012
TA,NHCI,0.0357,2012
V,NHCI,0.02,2012
WH,NHCI,0.0253,2012
Y,NHCI,0.0561,2012
ZN,NHCI,0.051,2012
L,NHECI,0.25,2012
RU,NHECI,0.25,2012
TA,NHECI,0.25,2012
V,NHECI,0.25,2012
AL,NHII,0.0606,2012
CU,NHII,0.25,2012
L,NHII,0.0768,2012
PB,NHII,0.02,2012
RB,NHII,0.2182,2012
RU,NHII,0.1936,2012
TA,NHII,0.0657,2012
V,NHII,0.0234,2012
ZN,NHII,0.0917,2012
AL,NHMI,0.199,2012
CU,NHMI,0.25,2012
PB,NHMI,0.051,2012
RB,NHMI,0.25,2012
ZN,NHMI,0.25,2012
A,NHAI,0.0935,2013
C,NHAI,0.0803,2013
CF,NHAI,0.1615,2013
M,NHAI,0.1213,2013
OI,NHAI,0.02,2013
P,NHAI,0.0553,2013
RI,NHAI,0.066,2013
SR,NHAI,0.2018,2013
WH,NHAI,0.0569,2013
Y,NHAI,0.1434,2013
A,NHCI,0.0355,2013
AG,NHCI,0.0302,2013
AL,NHCI,0.0266,2013
AU,NHCI,0.0231,2013
C,NHCI,0.0307,2013
CF,NHCI,0.061,2013
CU,NHCI,0.1334,2013
J,NHCI,0.083,2013
L,NHCI,0.0353,2013
M,NHCI,0.0458,2013
MA,NHCI,0.02,2013
P,NHCI,0.0208,2013
RB,NHCI,0.0991,2013
RU,NHCI,0.1054,2013
SR,NHCI,0.076,2013
TA,NHCI,0.0368,2013
V,NHCI,0.02,2013
WH,NHCI,0.0217,2013
Y,NHCI,0.0541,2013
ZN,NHCI,0.0415,2013
J,NHECI,0.25,2013
L,NHECI,0.193,2013
MA,NHECI,0.0519,2013
RU,NHECI,0.25,2013
TA,NHECI,0.2019,2013
V,NHECI,0.0532,2013
AL,NHII,0.0426,2013
CU,NHII,0.2266,2013
J,NHII,0.132,2013
L,NHII,0.059,2013
MA,NHII,0.02,2013
PB,NHII,0.02,2013
RB,NHII,0.1637,2013
RU,NHII,0.1831,2013
TA,NHII,0.0617,2013
V,NHII,0.02,2013
ZN,NHII,0.0713,2013
AL,NHMI,0.2035,2013
CU,NHMI,0.25,2013
PB,NHMI,0.0465,2013
RB,NHMI,0.25,2013
ZN,NHMI,0.25,2013
AG,NHPMI,0.5755,2013
AU,NHPMI,0.4245,2013
A,NHAI,0.0734,2014
C,NHAI,0.0774,2014
CF,NHAI,0.1429,2014
M,NHAI,0.1297,2014
OI,NHAI,0.02,2014
P,NHAI,0.0642,2014
RI,NHAI,0.0618,2014
RM,NHAI,0.0727,2014
SR,NHAI,0.1677,2014
WH,NHAI,0.0548,2014
Y,NHAI,0.1354,2014
A,NHCI,0.0238,2014
AG,NHCI,0.0473,2014
AL,NHCI,0.0208,2014
AU,NHCI,0.0261,2014
CF,NHCI,0.0471,2014
CU,NHCI,0.1184,2014
FG,NHCI,0.0304,2014
J,NHCI,0.0927,2014
JM,NHCI,0.0566,2014
L,NHCI,0.0314,2014
M,NHCI,0.0428,2014
